,Unnamed: 0,Title,Company,Links,Ratings,Address,Salary,Job description,full-description
0,0,Software Engineering - Graduate Programme,NatWest Group,https://uk.indeed.com/rc/clk?jk=8f62b7b76b6e98c5&fccid=4a3a2b1eb3ec0691&vjs=3,3.2,London,"£31,850 a year",Build the technical skills needed as you move through your placements across Technology to become a highly capable software engineer.,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
About you
To be eligible for our Software Engineering programme, you’ll need to have, or be on course to achieving a 2:1 in your degree
We’re looking for people who are curious, innovative, customer-focused, and who are able to demonstrate creativity and show a real enthusiasm for technology
In short, you’ll need to be something of an all-rounder; you will take pride in your work and will have a real passion for technology. You will be as comfortable solving technical problems as you are explaining concepts and thrashing out ideas with others
About the programme
As a graduate trainee Software Engineer, we’ll equip you with the knowledge, skills and experiences you’ll need to become a highly capable Software Engineer and make a significant impact. You’ll learn how we’re using technology to redefine the banking experience for our customers. You’ll gain hands-on experience across the full development lifecycle, from requirements analysis through to coding, testing and deployment.
We’ll reward you with a starting salary of £31,850 a year. And on top of your salary, you’ll also have access to our flexible benefits package.
Over the two years on the programme, you’ll:
Complete up-front learning and project activities to get you ready for your first placement
Work collaboratively in an agile environment to deliver technology solutions that meet the needs of our customers and colleagues
Build the technical skills needed as you move through your placements across Technology to become a highly capable software engineer
Gain experience in all aspects of the development lifecycle
Develop the confidence and influencing skills to innovate and challenge the status quo.
About the business area
Technology is crucial to how we operate as a bank and serve our customers. And with over 19 million customers, how we harness its potential is vital.
In Technology, we work closely with all parts of the bank to understand customer and business needs and deliver cutting edge solutions in a dynamic environment. Our customers are at the heart of everything we do; and bringing simple, secure and reliable products and services to our customers is our goal.
Applications for this programme will be open until we receive enough applications to complete our hiring. When that happens, we’ll close the programme to new applications. It’s important to take the time to make sure you’re making the right decision about the programme you want to apply for (you can only apply for one Graduate/Intern programme) but please complete your application as soon as you can to make sure you don’t miss out.
If you need any adjustments to support your application, such as information in alternative formats or special requirements to access our buildings, or if you’re eligible under the Disability Confident Scheme please contact us and we’ll do everything we can to help."
1,1,Software Engineer Apprentice,Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=52b45930987414a8&fccid=6423597f1cdb7b53&vjs=3,3.8,Bristol,"£27,540 - £32,130 a year","Build simple data models and software designs.
Learn how to write code and operate at all stages of the software development lifecycle.","Please note, this site is only for external candidate applications. If you currently work for Lloyds Banking Group please apply via the internal career site.
Please note: In order to complete an apprenticeship there needs to be a significant learning need. You need to consider your previous qualifications or significant relevant work experience which may mean you cannot proceed with this application.
End Date
Sunday 09 January 2022
Salary Range

Agile Working Options
Job Description Summary
Do you love analysing and solving problems? Do you dream of creating next-generation software with the help of an experienced team? Within Lloyds Banking Group, we’re looking for people with the potential, passion and drive to embark on their journey to become a Software Engineer of the Future.
Job Description
Could you be one of our Engineers of the Future?
Do you love analysing and solving problems? Are you fascinated by the newest tech? Do you dream of creating next-generation software with the help of an experienced team? Do you have an interest in coding / code clubs?
Are you curious about how we're redefining banking to meet our customers’ needs and want to help us to be the best bank for Britain? Are you a strong communicator and a great team player, who is always keen to keep learning and developing?
If this sounds exciting and you want to help build the bank of the future, this Software Engineer Apprenticeship is for you.
Join us and be part of an inclusive, values-led culture that celebrates diversity, equal opportunity and provides opportunities for flexible working. Our approach to inclusion and diversity means that we all have the opportunity to make a real difference, together.
What we're looking for
We’re looking for people with the potential, passion and aim to embark on their journey to become a Software Engineer of the Future. You’ll be a team player who loves using data and tech to find innovative solutions to problems and help the team to deliver the best for our customers.
What you’ll have:
Logical and creative thinking skills
Passion for solving problems
A detailed and organised approach
Ability to communicate in a variety of situations
How will the Apprenticeship programme support you?
Starting in May 2022, you'll be supported by your Line Manager, in work Buddy and Apprenticeship Learning Mentor. Whilst on the Apprenticeship scheme 20% of your time will be dedicated to ‘off the job learning’, which can include attending workshops, shadowing, reading, completing assignments etc. This means 80% of your role is applying your learning in the workplace, in a safe environment.
Once you’ve successfully completed your Apprenticeship, you’ll be a proficient Software Engineer.
As a Trainee Software Engineer, you’ll:
Learn how to write code and operate at all stages of the software development lifecycle
Build, lead and deploy code into customer and business environments
Test code and analyse results
Understand the structure of our Programmes inside out in order to identify and resolve issues
Build simple data models and software designs
Develop skills in agile ways of working
Whilst learning about our current technologies, you’ll build up experience of our systems to support the critical services we provide for our customers. By staying curious about developments in the world of tech, you’ll also have the chance to help build innovative new solutions for our customers.
What is the Eligibility Criteria?
In order to complete an apprenticeship, there needs to be a significant learning need. You need to consider your previous qualifications or significant relevant work experience which may mean you cannot proceed with this application. What this means is that if you have a computer science degree or you have experience in this type of role, you may be over-qualified for this position.
The minimum qualifications required are:
A Level or equivalent qualification in any subject and GCSEs in English Language or Literature and Maths grade C (or equivalent) or above?
Or
A minimum of one year's work experience in a relevant role and GCSEs in English Language or Literature and Maths grade C (or equivalent) or above?
What you’ll get in return
In return, we’ll offer you a competitive package which includes salary, bonus, a generous pension contribution, an attractive path of progression and flex cash to spend on a host of benefits to suit your lifestyle. We have a long track record of flexible working, and we’re always open to new ways to improve our people’s work-life balance, therefore open to discussion on working patterns and working hours.
Lloyds Banking Group is committed to building a workforce which reflects the diversity of the customers and communities we serve, and to creating an inclusive workplace where all our colleagues can be themselves and succeed on merit.
Salary
Starting salary:
Outside of London - £27,540
London - £32,130
Apprenticeships worth discovering
If you’re interested in joining this ground-breaking programme, please register your application and take the first step towards an exciting career in Software Engineering within Lloyds Banking Group. You'll undertake an online test and a virtual assessment centre as part of the selection process.
Interested? What’s stopping you? Apply now!
You might be looking at this vacancy, worrying whether you're right for this role, we know it is daunting thinking about embarking on something new, but apprenticeships are one of the best ways to make this happen. You'll be supported by the team, follow a structured learning programme and learn in a safe environment.
Our roles generate a lot of interest and occasionally we have to close adverts slightly earlier than stated on our website. So if you think working with us could be right for you, please apply now.
At Lloyds Banking Group, we're driven by a clear purpose; to help Britain recover. Across the Group, our colleagues are focused on making a difference to customers, businesses and communities. With us you'll have a key role to play in shaping the financial services of the future, whilst the scale and reach of our Group means you'll have many opportunities to learn, grow and develop.
We're focused on creating a values-led culture and are committed to building a workforce which reflects the diversity of the customers and communities we serve. Together we’re building a truly inclusive workplace where all of our colleagues have the opportunity to make a real difference."
2,2,Software Engineering - Internship,NatWest Group,https://uk.indeed.com/rc/clk?jk=64a0b8982e7fa0fb&fccid=4a3a2b1eb3ec0691&vjs=3,3.2,London,"£21,500 a year","Attend training workshops, get involved with our day to day work, and take part in a business improvement software engineering project.","Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
About you
To be eligible for our Software Engineering internship, you’ll need to be in your penultimate year of university and be on course to achieving a 2:1 in your degree
We’re looking for people who want to start a career in Software Engineering; people who are curious, innovative and customer-focused, and show a real enthusiasm for technology
In short, you’ll need to be something of an all-rounder; as comfortable solving technical problems as you are explaining concepts and thrashing out ideas with others.
About the programme
Over the course of this eight week summer internship, we’ll give you a taste of what it’s like to work with us, along with valuable experience to help guide your career choices.
We’ll reward you with a starting salary of £21,500 pro rata, depending on your location.
For eight weeks, you can expect to:
Learn about our culture, values and goals and build an understanding of the products and services we provide
Attend training workshops, get involved with our day to day work, and take part in a business improvement software engineering project
Develop your team working, planning, creative thinking and problem solving skills
See first-hand how we work together to deliver an outstanding service for our customers
Experience what it’s like to work in a purpose led organisation that puts the customer at the heart of decision making.
About the business area
Technology is crucial to how we operate as a bank and serve our customers. And with over 19 million customers, how we harness its potential is vital.
In Technology, we work closely with all parts of the bank to understand customer and business needs and deliver cutting edge solutions in a dynamic environment. Our customers are at the heart of everything we do: and bringing simple, secure and reliable products and services to our customers is our goal
Applications for this programme will be open until we receive enough applications to complete our hiring. When that happens, we’ll close the programme to new applications. It’s important to take the time to make sure you’re making the right decision about the programme you want to apply for (you can only apply for one Graduate/Intern programme) but please complete your application as soon as you can to make sure you don’t miss out.
If you need any adjustments to support your application, such as information in alternative formats or special requirements to access our buildings, or if you’re eligible under the Disability Confident Scheme please contact us and we’ll do everything we can to help."
3,3,Software Developer,Imperial College London,https://uk.indeed.com/rc/clk?jk=f9f27d3295269f88&fccid=89a1a7b0050ae6e6&vjs=3,4.2,South Kensington,"£39,309 - £48,226 a year","Experience with web software development.
Currently the department is transforming the way in which support is delivered with new processes to improve the…","The Department of Electrical and Electronic Engineering (EEE) is a world-leading department in its field with a reputation for excellence in both teaching and research. Computer software and hardware form the foundation on which our teaching and education support is based. Currently the department is transforming the way in which support is delivered with new processes to improve the student and staff experience.
Duties and responsibilities
The role will be principally concerned with the specification, design and implementation of custom intranet automation to support Teaching and Administration in the department. In addition, the post holder will be responsible for the development of iterative processes to enable rapid identification, costing, and implementation of intranet solutions to new problems within EEE. This work will be carried out in close collaboration with the members of the education support team. The post holder will play a key role in shaping the future student lifecycle support in the department.

Essential requirements


A first degree, or equivalent, qualification in Computer Science or related areas.

Substantial experience in implementation of web - based technologies

Passionate about the use of web technologies to improve user experience.

Experience with web software development

Experience designing and implementing SQL databases and queries

Further information
The appointed candidate will be working at the South Kensington Campus.
For informal enquiries about the post please contact Dr. Tom Clarke: t.clarke@imperial.ac.uk
Further information about the post is available in the job description.
The Department of Electrical and Electronic Engineering has a strong commitment to conducting internationally competitive and innovative research. Its primary scientific interest is in fundamental research with numerous applications to the environment, healthcare, information and communications technology, industry and energy.
The academic staff of the Department of Electrical and Electronic Engineering (EEE) have wide-ranging expertise in Circuits and Systems, Communications and Signal Processing, Control and Power, Intelligent Systems and Networks, and Optical and Semiconductor Devices.
Imperial College London is a science-based institution with the greatest concentration of high-impact research of any major UK university. The Faculty of Engineering, consistently rated among the best in the world, is made up of 10 academic departments and is committed to increasing its research activity by focusing on engineering-led multidisciplinary growth areas that target a number of global challenges. All of our academic departments are located on a single campus in South Kensington, giving a concentration of talent that creates a stimulating and vibrant research community. You can find out more about our staff benefits, including generous annual leave entitlements and our excellent professional development opportunities on our webpages
Documents
Software Developer JD.pdf"
4,4,Graduate Software Engineer (Summer 2022),Gearset,https://uk.indeed.com/rc/clk?jk=4dac96de0896f8b1&fccid=5e59d50f728cbb64&vjs=3,5.0,Cambridge,"£32,000 - £35,000 a year","Enjoy working with a collaborative team of varied disciplines, including software developers, designers, marketers and salespeople.","At Gearset, we build a cutting-edge DevOps solution for the millions of developers building applications on Salesforce. In only three years Gearset has become the DevOps solution of choice for some of the world’s biggest companies, including IBM, McKesson, and even Salesforce themselves.

As a Graduate Software Engineer at Gearset you'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective, and joining us as a Graduate, you’ll get stuck into real work solving real problems right from day one.

Who are we?

We're a team of smart, pragmatic people who enjoy giving our best every day to solve our users' problems. We recently received three awards from Best Companies in 2021, putting us in the top 10 best mid-sized companies to work for, the top three best technology companies in the UK, and top 5 best companies in the East of England.

We’re proud of what we’ve built and how we’ve built it. We work as a team, where attributes of trust, openness and honesty are key, as they allow us to have a feedback-driven culture that keeps us always improving. To learn more about what “ good” looks like to us, read about our engineering values here.
You'll be a good fit if you:
Have (or are about to graduate with) a Bachelor's Degree in Computer Science, Mathematics, or a related field
Can write code and solve complex problems
Write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are interested in both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including software developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Have an innate desire to learn and improve your Software Engineering skills
Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from a great team - alumni of Microsoft, EA and Cambridge University to name a few
Be assigned a Mentor from day one and be supported by a team of people who enjoy seeing others grow their skills.
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, React and TeamCity
Work closely with users, delighting them with Software Improvements, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with C# and Javascript
Salary and Benefits:
You'll work 40 hours per week, Monday to Friday, in our Cambridge office, with the option of flexible home working
Salary is £32k - £35k, depending on experience and qualifications
Bupa health care
Life Insurance & Critical Illness cover
Flexible working hours
Free lunch in the office
Discounted gym membership, as well as many other wellness benefits
This role would be for a Summer 2022 start."
5,5,Graduate Software Engineer (Summer 2022),Gearset,https://uk.indeed.com/rc/clk?jk=4dac96de0896f8b1&fccid=5e59d50f728cbb64&vjs=3,5.0,Cambridge,"£32,000 - £35,000 a year","Enjoy working with a collaborative team of varied disciplines, including software developers, designers, marketers and salespeople.","At Gearset, we build a cutting-edge DevOps solution for the millions of developers building applications on Salesforce. In only three years Gearset has become the DevOps solution of choice for some of the world’s biggest companies, including IBM, McKesson, and even Salesforce themselves.

As a Graduate Software Engineer at Gearset you'll join a passionate and experienced cross-functional development team with a laser focus on quality - from infrastructure, to code, to user experience. The features you build will make thousands of businesses around the world more effective, and joining us as a Graduate, you’ll get stuck into real work solving real problems right from day one.

Who are we?

We're a team of smart, pragmatic people who enjoy giving our best every day to solve our users' problems. We recently received three awards from Best Companies in 2021, putting us in the top 10 best mid-sized companies to work for, the top three best technology companies in the UK, and top 5 best companies in the East of England.

We’re proud of what we’ve built and how we’ve built it. We work as a team, where attributes of trust, openness and honesty are key, as they allow us to have a feedback-driven culture that keeps us always improving. To learn more about what “ good” looks like to us, read about our engineering values here.
You'll be a good fit if you:
Have (or are about to graduate with) a Bachelor's Degree in Computer Science, Mathematics, or a related field
Can write code and solve complex problems
Write well-structured, testable code, with a focus on simplicity and maintainability
Care about quality, not only of the code you write, but of the product you're building
Are interested in both frontend and backend development
Enjoy working with a collaborative team of varied disciplines, including software developers, designers, marketers and salespeople
Have an enthusiasm for working directly with users to build and deliver the right features
Have an innate desire to learn and improve your Software Engineering skills
Working at Gearset, you will:
Maintain and extend existing features, and collaborate with the rest of the development team to spec, design and build new features end-to-end
Learn from a great team - alumni of Microsoft, EA and Cambridge University to name a few
Be assigned a Mentor from day one and be supported by a team of people who enjoy seeing others grow their skills.
Become familiar with a pragmatically-chosen tech stack, including a mix of cutting-edge and proven technologies such as Docker, AWS, C#, React and TeamCity
Work closely with users, delighting them with Software Improvements, researching new features and soliciting feedback
Contribute opinions on a range of topics, from development practices to product strategy and roadmap
Nice to haves:
Familiarity with C# and Javascript
Salary and Benefits:
You'll work 40 hours per week, Monday to Friday, in our Cambridge office, with the option of flexible home working
Salary is £32k - £35k, depending on experience and qualifications
Bupa health care
Life Insurance & Critical Illness cover
Flexible working hours
Free lunch in the office
Discounted gym membership, as well as many other wellness benefits
This role would be for a Summer 2022 start."
6,6,Java Software Engineer,Lloyds Banking Group,https://uk.indeed.com/rc/clk?jk=85a64c0bb79fa331&fccid=6423597f1cdb7b53&vjs=3,3.8,London,"£57,861 - £75,710 a year","As a Java Engineer within the Consumer Servicing Value Stream in Retail, you’ll work as part of an agile team to guide and implement technical solutions.","End Date
Sunday 09 January 2022
Salary Range
£57,861 - £75,710

Agile Working Options
Other Agile Working Arrangements / Open to Discussion
Job Description Summary
As a Java Engineer within the Consumer Servicing Value Stream in Retail, you’ll work as part of an agile team to guide and implement technical solutions. The team use Git to manage the majority of the source code, and SonarQube to help monitor code quality. Jira and Confluence are used heavily for task management and documentation.
Job Description
Job title: Senior Java Software Engineer
Location: London wall office London wall office (City of London (near Bank / Moorgate / Barbican / St Pauls). The team will be working in a hybrid work pattern. Please only apply if able to work 2- 3 days per week in this location post-covid (dependent on the week). Did you know we offer flexible working patters from part-time, job share or flexible work schedules, for example start and finish times, or compressed hours!
Our Mission
We're on a journey to build the bank of the future, and we need your help. We’re continuing our transformation programme, redefining what a bank is from the inside out. Become part of our diverse team where you’ll impact the lives of more than 26 million customers through brands including Lloyds Bank, Halifax, Bank of Scotland, and Scottish Widows.
Why we’re doing this?
We're committed to Help Britain Prosper and become the best bank for customers. As part of this, we're redefining our digital capability, providing customers with simpler, continuous interactions across online, mobile and branches. Our digital platforms (public website, mobile & tablet app, and internet banking website) are where the majority of customer and colleague interactions with the bank take place. They are becoming increasingly sophisticated with the introduction of public API's, growing numbers of devices to access them from and evolving operating systems.
The team
We’re passionate about our shared passion for delivering new features for customers across our brands. The Retail teams are part of the Retail Transformation directorate and are fully agile teams that strive for quality.
Joining our team, you’ll have opportunities get involved in internal Hackathons, coding challenges or to be a member of our engineering community.
About you
As a Java Engineer within the Retail division, you’ll be expected to work as part of an agile team to guide and implement technical solutions. It will be your responsibility to help promote sound engineering practices and to work alongside Product Owners to implement improvements to journeys, which are used by the bank’s 25+ million customers.
We issue new joiners a high spec laptop with local admin rights. The team use Git to manage most of the source code, and SonarQube to help monitor code quality. Jira and Confluence are used heavily for task management and documentation.
Required
Expert Java knowledge
A proven track record of the Spring framework, Git workflows, testing (TDD, Mock object), and DevOps toolchains
Experience of microservice design, container technologies (Kubernetes, Docker, Helm), cloud technologies (GCP, ICP, Azure)
Phenomenal teamwork and communication skills
A passion for delivering business value through sound engineering methods and principles
What you’ll get from the role
Meet like-minded team members and be able to grow your own capabilities by pursuing and investing in personal development opportunities. We're an encouraging team that invest in a collaborative approach where everyone's opinion is heard.
What can we offer you in return?
Salary and Benefits package:
Competitive base salary
4% flex cash pot to spend on benefits (or take as cash)
Generous employer pension contribution up to 15%
30 days holiday entitlement plus bank holidays
Discretionary variable annual performance bonus and private medical health cover, share schemes and access to staff discounts!
Together we’ll make a difference. At LBG, we’re invested in your continual development. That’s why we’ve fostered a collaborative learning environment that supports your career goals and encourages knowledge-sharing. We'll ensure that individuals with disabilities are provided reasonable accommodation to participate in the interview process, to perform job functions, and to receive other benefits and privileges of employment.
We're proud to have received the following industry recognition:
'Stonewall Top Private Sector Employer', 'Top10 Employer for Working Families', 'The Times Top 50 Employer for Women', 'Gold Standard' and ""Best Workplace Adjustments Process"" from the Business Disability Forum – each demonstrating our dedication to the principles of agile working and inclusion for all.
Does this sound like an outstanding fit for you? If so, we'd love to hear from you.
At Lloyds Banking Group, we're driven by a clear purpose; to help Britain recover. Across the Group, our colleagues are focused on making a difference to customers, businesses and communities. With us you'll have a key role to play in shaping the financial services of the future, whilst the scale and reach of our Group means you'll have many opportunities to learn, grow and develop.
We're focused on creating a values-led culture and are committed to building a workforce which reflects the diversity of the customers and communities we serve. Together we’re building a truly inclusive workplace where all of our colleagues have the opportunity to make a real difference."
7,7,Junior Developer,NHS England and NHS Improvement,https://uk.indeed.com/rc/clk?jk=133a55d7176a0e49&fccid=5e09fe1d8b7aaed9&vjs=3,3.0,London SE1 6LH Temporarily Remote,"£40,057 - £45,839 a year",Having a national incident management system for the NHS allows patterns and trends that are not visible locally to be picked up more effectively as part of the…,"As a Junior Developer, the post holder will work as part of an agile team delivering the newly launched national Learning from Patient Safety Events service (LFPSE). This service replaces legacy infrastructure and creates a new digital platform for the collection, analysis, and publication of information about things that go wrong in healthcare.

When things go wrong in care, or even when they go right, it is vital patient safety events are recorded to ensure learning can take place to support local and national patient safety improvement. Having a national incident management system for the NHS allows patterns and trends that are not visible locally to be picked up more effectively as part of the national picture, enabling our National Patient Safety Team to identify new or under recognised issues, and to take NHS-wide action such as issuing urgent alerts to protect patients. The team also works with partners on a range of other responses to identified risks and share data to support ongoing programmes tackling more common safety issues.

The post holder will work as part of the agile digital team, taking responsibility for key development areas in this large and complex project, with more workstreams expected to come online. Working directly under the LFPSE Senior Delivery Manager, this is a great opportunity to enhance your skills and work on a very high-profile product which supports patient safety in England, and to help deliver our aims of:
A well-designed, user-centred, end-to-end digital service that reduces barriers to sharing information about patient safety events, fosters a positive patient safety culture, and facilitates learning for improvement of the safety of healthcare services.
Role-modelling a just, open and collaborative culture, with a focus on the constant improvement of our work and working practices, to deliver the best outcomes for patients.
This new post will form a key part of the agile team, working with colleagues from multiple organisations, departments, and disciplines. We strive to work in an outcomes-focussed and dynamic way, maintaining a fast pace of delivery, and good governance. We are a friendly and diverse team, who work collaboratively, informally and flexibly where possible.

Key skills and attributes
Skilled in developing dynamic data-driven applications in the Microsoft .net framework using C#, MVC ASP.Net
Proficiency in HTML, JavaScript, CSS including browser configuration
Experience as a Python Developer and experience with Python frameworks (e.g., Django, Flask, Bottle)
Familiar with API integrations (JSON, XML, SOAP etc.)
Proficient technical problem-solving skills and ability to diagnose technical problems quickly
Familiar with a range of SSO capabilities including OKTA
Knowledge in using Microsoft Azure cloud technologies to develop, deploy and serve applications
Knowledge of test automation, continuous integration and delivery and automated deployments
Experience of Agile SCRUM and Kanban
Ability to operate in a value-driven style consistent with the values of the public services and specifically with the new organisational values
The majority of the team have been working remotely during the COVID-19 pandemic, and this is likely to remain the case for some time. Access to NHSE/I offices is available subject to a risk impact assessment."
8,8,Backend Software Engineer,develop.,https://uk.indeed.com/rc/clk?jk=a02a54d97ed852d1&fccid=18d0aa239188acab&vjs=3,,London,"£45,000 - £80,000 a year","You will help them build software that will allow our customers to create contracts from a library of templates, and quickly review and edit contracts sent to…","This business is an exciting, venture-backed technology startup whose mission is to dramatically reduce the cost and complexity of legal advice. Backed by top London based VCs, Forward Partners and Episode 1, this business uses a combination of human and artificial intelligence to review and edit contracts and is building software to fundamentally change the legal industry forever.

This business is creating groundbreaking products that are transforming legal teams. Their work is multi-disciplinary and brings together the best talent in engineering, AI and the law. Their current product uses neural networks to read and comprehend written contracts, assesses whether they adhere to our customers' preferred positions, and then automatically amends them. But their ambitions go way beyond reviewing contracts - they want to build technology that changes the way companies all over the world do deals.
You will help them build software that will allow our customers to create contracts from a library of templates, and quickly review and edit contracts sent to them by counter-parties. You'll help them develop machine learning services which can automatically edit contracts and explain the changes to the user in plain English. And you'll help them build an intelligent contract repository that will help companies save thousands of hours searching for information trapped inside their contracts.

Tech Stack
The frontend is built using React and Apollo, and they use Python web frameworks, such as Django and Flask, to implement back-end services, alongside various other services and libraries such as Celery and Elasticsearch. Everything runs on AWS services, including but not limited to ECS, Lambda and SQS. We use CircleCI to build and deploy, and all of our infrastructure is managed using Terraform.
Responsibilities
Develop back-end services and API's using Django and similar Python frameworks;
Build and maintain the Infrastructure our products and components are deployed to;
Write high quality, well tested code that solves challenging problems;
Identify and prioritise tasks, taking into account company objectives and goals
Required Skills
Experience with Python frameworks such as Django and Flask, and Cloud Infrastructure (e.g. AWS)
Have a background working in a start-up or similar size organisation and are passionate about building high quality products
Have an in-depth understanding of the entire development process (design, development and deployment)
Enjoy working in a stimulating, diverse and intellectually challenging environment where collaboration is essential to achieving results.
Two years experience working in an engineering team and be confident managing your own schedule while achieving measurable results.
Experience working with Machine Learning/Data science models isn't a pre-requisite, but it is a bonus.
Benefits
Generous equity package;
Competitive salary (between £45,000 - £80,000, dependent on experience);
Flexible working working from home;
Access to online learning materials; and
Laptop, office equipment and a personal desk plant!"
9,9,Graduate Software Engineer (Immediate Start),Yunex Limited,https://uk.indeed.com/rc/clk?jk=640fffe948ba3b6a&fccid=ea6bb53f0b18b8f2&vjs=3,4.0,Poole,"£28,000 a year",Working with concept boards and documentation sharing knowledge about best practices for software architecture governance.,"Are you a forward-thinking and aspiring undergraduate in your final year? Join our graduate programme and see for yourself how it differs from any other. Could this be the next exciting step on your journey to your career? If yes, start your graduate programme with us at Siemens!

You will be working in Platform team within R&D department of our Yunex Traffic Business to align the software architecture required that enables the business roadmap in our portfolio. The platform team works as a nexus between teams providing consistent system and services to enable a Agile and DevOps culture. Responsibilities will be setting up high level principles and guidelines, reducing and automating processes and sharing the strategic vision of the systems architecture across of our portfolio.

If you are interested in how a company works with current technology market trends such as microservices, containers and high-throughput events platforms, then this is your opportunity to grow your skills on this area.

The Challenge

Begin your journey with us whilst taking part in our fantastic graduate development programme. We will create an individual training plan to help you develop the specific skills and knowledge required for your role. By the end of it, you will be set up with the best knowledge and hands-on experience to equip you for your professional career in Siemens.

Here is a taste of what you can expect from this graduate role:
Working with the Chief Architect to understand and share the architectural vision aligned with the business roadmap understanding the criticality of the architecture in software products and how to manage it.
Working with concept boards and documentation sharing knowledge about best practices for software architecture governance.
Working with other Tech leads to discuss and analyse the baseline architecture of the software project / product which will give the candidate experience on how to prioritise work items.
Working with Architects / Product Owners to see how we can deliver the required changes to the baseline architecture to the target architecture following a lean / agile approach which will help on the development of negotiation skills.
Analyse software project structure, delivering a baseline vs target architecture of the project: What technologies we rely on, how do we deliver software currently, how do we build our software and what quality gates do we use. Here you will work with other architects to identify systems / software patterns and document and track changes.
The Candidate

We are looking for innovative and inquisitive candidates that demonstrate the following:
Achieved or be on track to achieve a 2:2 or above in a Software Engineering/Computing/Software Architect related degree
You think logically, willing to self-learn and research, and take a creative approach to problem solving
You can work independently, safely and responsibly; take ownership of challenges and ideas and are looking to develop your ability to drive and lead change
You enjoy collaborating with others to find innovative solutions
What else do I need to know?

Alongside your role, the graduate development programme will teach softer skills such as communication, teamwork, commercial awareness, digitalisation and innovation. We also offer plenty of opportunity to develop your career whilst offering a competitive salary and an excellent benefits package.

We’re looking for passionate teammates with the aptitude and attitude to succeed in the world of Software Architecture.

The total rewards' package for this role includes a competitive salary of £28,000, plus an annual bonus. We know that not everyone’s lifestyle is the same, so we operate a flexible benefits scheme where you can tailor your benefits package to suit.

If we all thought the same, we would never think of anything new. That’s why we recruit great minds from all walks of life.

Siemens recognise that building a diverse workforce is essential to the success of our business. We strongly encourage applications from a diverse talent pool and welcome the opportunity to discuss flexibility requirements and workplace adjustments with all applicants to encourage agile working, flexibility and innovation.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Organization: Siemens Mobility
Company: Yunex Limited
Experience Level: not defined
Job Type: Full-time"
